Time Step,x,Numerical Solution,Exact Solution,Error,Average Error
0,0.0,-0.09797845248294088,0.0,0.09797845248294088,0.016389261525460715
0,0.0078125,0.04904830707540489,0.049453719922738996,0.0004054128473341065,0.016389261525460715
0,0.015625,0.09797845248294082,0.09878641830579414,0.000807965822853321,0.016389261525460715
0,0.0234375,0.14667255921654648,0.14787736976946894,0.0012048105529224584,0.016389261525460715
0,0.03125,0.19501331890800055,0.19660644052928852,0.0015931216212879684,0.016389261525460715
0,0.0390625,0.24288427443305594,0.24485438238350118,0.001970107950445249,0.016389261525460715
0,0.046875,0.2901701004668522,0.2925031245334109,0.0023330240665586643,0.016389261525460715
0,0.0546875,0.3367568813127248,0.33943606252240655,0.002679181209681747,0.016389261525460715
0,0.0625,0.3825323853350959,0.3855383435866074,0.0030059582515114536,0.016389261525460715
0,0.0703125,0.427386335335315,0.43069714771882195,0.0033108123835069447,0.016389261525460715
0,0.078125,0.4712106742190896,0.47480196375801115,0.0035912895389215715,0.016389261525460715
0,0.0859375,0.5138998253154898,0.517744859828618,0.0038450345131281205,0.016389261525460715
0,0.09375,0.5553509467203966,0.5594207474679531,0.0040698007475564735,0.016389261525460715
0,0.1015625,0.595464179051656,0.599727638795273,0.004263459743616971,0.016389261525460715
0,0.109375,0.6341428860190779,0.6385668960932144,0.0044240100741365085,0.016389261525460715
0,0.1171875,0.6712938872297229,0.6758434731908174,0.004549585961094449,0.016389261525460715
0,0.125,0.7068276826676316,0.7114661480574332,0.004638465389801616,0.016389261525460715
0,0.1328125,0.7406586683072008,0.7453477460383188,0.00468907773111793,0.016389261525460715
0,0.140625,0.7727053423407806,0.7774053531856258,0.0047000108448451705,0.016389261525460715
0,0.1484375,0.8028905015236669,0.8075605191627239,0.004670017639056945,0.016389261525460715
0,0.15625,0.8311414271634806,0.8357394492253214,0.00459802206184079,0.016389261525460715
0,0.1640625,0.8573900603058664,0.8618731848095703,0.004483124503703917,0.016389261525460715
0,0.171875,0.8815731656944755,0.8858977722852274,0.004324606590751845,0.016389261525460715
0,0.1796875,0.9036324841102371,0.9077544194609038,0.004121935350666739,0.016389261525460715
0,0.1875,0.9235148727229194,0.9273896394584102,0.003874766735490809,0.016389261525460715
0,0.1953125,0.9411724331168628,0.9447553816041099,0.0035829484872470507,0.016389261525460715
0,0.203125,0.956562626682459,0.9598091490169692,0.0032465223345102823,0.016389261525460715
0,0.2109375,0.9696483770953862,0.9725141026055469,0.0028657255101607326,0.016389261525460715
0,0.21875,0.9803981596367237,0.9828391512194238,0.0024409915827000583,0.016389261525460715
0,0.2265625,0.9887860771387595,0.990759027734458,0.001972950595698464,0.016389261525460715
0,0.234375,0.9947919223735365,0.9962543508856719,0.0014624285121354053,0.016389261525460715
0,0.2421875,0.9984012267338342,0.9993116726964553,0.0009104459626210204,0.016389261525460715
0,0.25,0.9996052950893108,0.9999235113880169,0.0003182162987060977,0.016389261525460715
0,0.2578125,0.9984012267338342,0.998088369688552,0.00031285704528227765,0.016389261525460715
0,0.265625,0.9947919223735366,0.9938107384973164,0.0009811838762202596,0.016389261525460715
0,0.2734375,0.9887860771387595,0.9871010858946441,0.0016849912441154746,0.016389261525460715
0,0.28125,0.9803981596367237,0.9779758315248003,0.002422328111923444,0.016389261525460715
0,0.2890625,0.9696483770953862,0.9664573064143605,0.003191070681025754,0.016389261525460715
0,0.296875,0.956562626682459,0.9525736983244457,0.003988928358013233,0.016389261525460715
0,0.3046875,0.9411724331168628,0.9363589827705493,0.00481345034631353,0.016389261525460715
0,0.3125,0.9235148727229194,0.9178528398787551,0.005662032844164333,0.016389261525460715
0,0.3203125,0.9036324841102372,0.8971005572818211,0.006531926828416079,0.016389261525460715
0,0.328125,0.8815731656944756,0.8741529192927529,0.007420246401722785,0.016389261525460715
0,0.3359375,0.8573900603058665,0.8490660826270787,0.008323977678787786,0.016389261525460715
0,0.34375,0.8311414271634807,0.8219014389779585,0.009239988185522185,0.016389261525460715
0,0.3515625,0.802890501523667,0.7927254647804207,0.010165036743246314,0.016389261525460715
0,0.359375,0.7727053423407808,0.7616095585323879,0.011095783808392934,0.016389261525460715
0,0.3671875,0.7406586683072008,0.7286298660705872,0.012028802236613623,0.016389261525460715
0,0.375,0.7068276826676316,0.693867094228929,0.012960588438702625,0.016389261525460715
0,0.3828125,0.6712938872297232,0.6574063133353583,0.013887573894364902,0.016389261525460715
0,0.390625,0.634142886019078,0.619336749030509,0.01480613698856903,0.016389261525460715
0,0.3984375,0.5954641790516562,0.5797515639176076,0.015712615134048535,0.016389261525460715
0,0.40625,0.5553509467203966,0.5387476295779737,0.016603317142422913,0.016389261525460715
0,0.4140625,0.5138998253154899,0.49642528951002635,0.017474535805463598,0.016389261525460715
0,0.421875,0.47121067421908974,0.4528881135719287,0.018322560647161035,0.016389261525460715
0,0.4296875,0.427386335335315,0.4082426445287906,0.019143690806524394,0.016389261525460715
0,0.4375,0.38253238533509604,0.3625981373246671,0.019934248010428923,0.016389261525460715
0,0.4453125,0.336756881312725,0.31606629171740497,0.020690589595320052,0.016389261525460715
0,0.453125,0.2901701004668523,0.26876097893061446,0.021409121536237863,0.016389261525460715
0,0.4609375,0.24288427443305613,0.2207979629917064,0.022086311441349732,0.016389261525460715
0,0.46875,0.19501331890800086,0.17229461743791677,0.02271870147008409,0.016389261525460715
0,0.4765625,0.1466725592165466,0.12336963808359339,0.023302921132953208,0.016389261525460715
0,0.484375,0.09797845248294097,0.07414275255164605,0.023835699931294918,0.016389261525460715
